grant_title,id,amount,group,category,comments
muscle weakness,1,5200,low,other_pollution,Mercury pollution related disease
skin rashes,2,3000,low,other_pollution,Mercury pollution related disease
mental disturbances such as mood swings and memory loss,3,10000,low,other_pollution,Mercury pollution related disease
"impairment of speech, hearing and peripheral vision",4,3500,low,other_pollution,Mercury pollution related disease
impairment of coordinated movements such as walking or writing,5,5000,low,other_pollution,Mercury pollution related disease
"numbness and ""pins and needles"" feeling in the hands, feet and sometimes around the mouth",6,2000,low,other_pollution,Mercury pollution related disease
Increased blood pressure,7,5000,low,other_pollution,Lead pollution related disease
Decreased fertility,8,6000,low,other_pollution,Lead pollution related disease
Cataracts,9,5000,low,other_pollution,Lead pollution related disease
Nerve disorders,10,90000,low,other_pollution,Lead pollution related disease
Muscle and joint pain,11,2500,low,other_pollution,Lead pollution related disease
Memory or concentration problems,12,9000,low,other_pollution,Lead pollution related disease
Respiratory diseases,13,13500,low,other_pollution,Sulfer dioxide exposure related disease
dermal diseaese,14,13500,low,other_pollution,Sulfer dioxide exposure related disease
Conjunctivitis and corneal burns (eye),15,7500,low,other_pollution,Sulfer dioxide exposure related disease
"Nausea, vomiting, and abdominal pain",16,7500,low,other_pollution,Sulfer dioxide exposure related disease
pulmonary fibrosis,17,12000,low,other_pollution,Sulfer dioxide exposure related disease
chronic bronchitis,18,7500,low,other_pollution,Sulfer dioxide exposure related disease
chemical bronchopneumonia with bronchiolitis obliterans,19,4500,low,other_pollution,Sulfer dioxide exposure related disease
decline in pulmonary function,20,12000,low,other_pollution,Sulfer dioxide exposure related disease
Dyspnea (shortness of breath),21,7500,low,other_pollution,Nitrogen dioxide exposure related disease
Choking,22,9000,low,other_pollution,Nitrogen dioxide exposure related disease
Chest pain,23,7500,low,other_pollution,Nitrogen dioxide exposure related disease
Cholera,29,10000,medium,water_pollution,"Bacteria called 'vibrio chlorae' cause a small intestinal disease known as cholera. Symptoms of cholera include diarrhea and vomiting, as well as abdominal cramps and headache."
Amoebiasis,30,7000,medium,water_pollution,One of the most common diseases caused by water pollution is amoebiasis. Water contaminated by amoeba can cause infection to the large intestine as well as the liver. Symptoms can range from mild to severe diarrhea with blood and mucus.
Dysentery,31,120000,medium,water_pollution,"Dysentery causes fever, vomiting, abdominal pain, and severe diarrhea with blood and mucus. You may also have symptoms of mild illness such as mild stomach pain and diarrhea."
Diarrhea,32,11000,medium,water_pollution,"Infectious diarrhea is one of the most common diseases caused by water pollution. It causes frequent passage of loose, water stools that can cause dehydration and death to young children and infants."
Hepatitis A,33,13000,medium,water_pollution,"This infectious disease affects the liver and is caused by the hepatitis A virus. It usually spreads by the fecal-oral route, by ingestion of contaminated water or food, or by direct contact with an infected person. Hepatitis A infection is a self-limiting disease that does not lead to chronic infection/liver disease."
Malaria,34,4000,medium,water_pollution,"Malaria is a disease caused by parasites, which are spread by female mosquitos calledAnopheles. Mosquitos breed in water, and when they bite a person infected with malaria, they can spread the infection to other people."
