Word,Occurence/count,Good Density (%),Gross Density (%)
health,10,4.149,0.658
disease,10,4.149,0.658
air,9,3.734,0.592
lung,8,3.319,0.526
heart,8,3.319,0.526
respiratory,8,3.319,0.526
lungs,6,2.489,0.394
problems,6,2.489,0.394
cause,5,2.074,0.329
asthma,5,2.074,0.329
particles,5,2.074,0.329
people,4,1.659,0.263
coughing,4,1.659,0.263
symptoms,4,1.659,0.263
pollution,4,1.659,0.263
chronic,4,1.659,0.263
effects,4,1.659,0.263
bronchitis,4,1.659,0.263
level,4,1.659,0.263
exposure,4,1.659,0.263
irritation,3,1.244,0.197
attacks,3,1.244,0.197
aggravated,3,1.244,0.197
term,3,1.244,0.197
development,3,1.244,0.197
sacramento,3,1.244,0.197
ground,3,1.244,0.197
polluted,3,1.244,0.197
ozone,3,1.244,0.197
including,3,1.244,0.197
throat,3,1.244,0.197
particulate,3,1.244,0.197
matter,3,1.244,0.197
emphysema,3,1.244,0.197
levels,2,0.829,0.131
high,2,0.829,0.131
sun,2,0.829,0.131
outdoor,2,0.829,0.131
work,2,0.829,0.131
harder,2,0.829,0.131
oxygen,2,0.829,0.131
long,2,0.829,0.131
wheezing,2,0.829,0.131
decreased,2,0.829,0.131
function,2,0.829,0.131
healthy,2,0.829,0.131
individuals,2,0.829,0.131
cancer,2,0.829,0.131
experience,2,0.829,0.131
map,2,0.829,0.131
death,2,0.829,0.131
vocs,2,0.829,0.131
oxides,2,0.829,0.131
nitrogen,2,0.829,0.131
nox,2,0.829,0.131
eyes,2,0.829,0.131
equipment,2,0.829,0.131
airways,2,0.829,0.131
deep,2,0.829,0.131
quality,2,0.829,0.131
chest,2,0.829,0.131
increased,2,0.829,0.131
breathing,2,0.829,0.131
obstructive,2,0.829,0.131
smoke,2,0.829,0.131
directly,2,0.829,0.131
children,2,0.829,0.131
linked,2,0.829,0.131
causing,2,0.829,0.131
fine,2,0.829,0.131
exercise,2,0.829,0.131
air,37,7.37,0.968
pm2,33,6.573,0.863
area,33,6.573,0.863
epa,27,5.378,0.706
standards,27,5.378,0.706
quality,19,3.784,0.497
particles,14,2.788,0.366
page,14,2.788,0.366
nonattainment,14,2.788,0.366
court,12,2.39,0.313
states,12,2.39,0.313
national,10,1.992,0.261
information,10,1.992,0.261
decision,9,1.792,0.235
state,9,1.792,0.235
designations,9,1.792,0.235
circuit,9,1.792,0.235
levels,8,1.593,0.209
clean,8,1.593,0.209
pollutants,8,1.593,0.209
does,8,1.593,0.209
fine,8,1.593,0.209
programs,8,1.593,0.209
emissions,8,1.593,0.209
process,7,1.394,0.183
standard,7,1.394,0.183
health,7,1.394,0.183
supreme,7,1.394,0.183
plan,6,1.195,0.156
reduce,6,1.195,0.156
designated,6,1.195,0.156
agency,6,1.195,0.156
risk,6,1.195,0.156
diesel,6,1.195,0.156
act,5,0.996,0.13
criteria,5,0.996,0.13
designation,5,0.996,0.13
mean,5,0.996,0.13
improve,4,0.796,0.104
ambient,4,0.796,0.104
united,4,0.796,0.104
sources,4,0.796,0.104
local,4,0.796,0.104
implementation,4,0.796,0.104
tribes,4,0.796,0.104
setting,4,0.796,0.104
questions,4,0.796,0.104
pollutant,4,0.796,0.104
sites,4,0.796,0.104
1997,4,0.796,0.104
home,4,0.796,0.104
particle,4,0.796,0.104
1999,4,0.796,0.104
contact,4,0.796,0.104
forecasts,3,0.597,0.078
power,3,0.597,0.078
plants,3,0.597,0.078
attainment,3,0.597,0.078
areas,3,0.597,0.078
order,3,0.597,0.078
caa,3,0.597,0.078
use,3,0.597,0.078
related,3,0.597,0.078
measures,3,0.597,0.078
frequent,3,0.597,0.078
public,3,0.597,0.078
come,3,0.597,0.078
formation,3,0.597,0.078
emission,3,0.597,0.078
content,3,0.597,0.078
cars,3,0.597,0.078
rule,3,0.597,0.078
including,3,0.597,0.078
engine,3,0.597,0.078
hour,3,0.597,0.078
annual,3,0.597,0.078
science,3,0.597,0.078
micrometers,3,0.597,0.078
need,3,0.597,0.078
based,3,0.597,0.078
average,3,0.597,0.078
determine,3,0.597,0.078
did,3,0.597,0.078
remanded,3,0.597,0.078
include,3,0.597,0.078
appeal,3,0.597,0.078
issued,3,0.597,0.078
visit,2,0.398,0.052
population,2,0.398,0.052
litigation,2,0.398,0.052
weather,2,0.398,0.052
history,2,0.398,0.052
unhealthy,2,0.398,0.052
particulate,2,0.398,0.052
forecast,2,0.398,0.052
matter,2,0.398,0.052
community,2,0.398,0.052
dust,2,0.398,0.052
soot,2,0.398,0.052
smoke,2,0.398,0.052
basis,2,0.398,0.052
liquid,2,0.398,0.052
time,2,0.398,0.052
small,2,0.398,0.052
issues,2,0.398,0.052
meets,2,0.398,0.052
emit,2,0.398,0.052
called,2,0.398,0.052
react,2,0.398,0.052
atmosphere,2,0.398,0.052
jump,2,0.398,0.052
